Test_ID,regime_id,Validity_Label,Reference_Parameter
TRN-0495,2,Valid,28.8206
TRN-0328,3,Valid,23.2713
TRN-0152,1,Valid,26.2554
TRN-0962,2,Valid,36.8685
TRN-0990,0,Valid,28.0254
TRN-0740,1,Valid,48.3109
TRN-0812,1,Valid,26.1854
TRN-0079,1,Valid,38.6996
TRN-0008,2,Valid,40.05
TRN-0865,3,Valid,14.7227
TRN-0909,3,Valid,16.3132
TRN-0693,2,Valid,25.539
TRN-0427,2,Valid,25.4469
TRN-0595,3,Valid,15.0574
TRN-0086,3,Valid,14.3793
TRN-0338,0,Valid,17.556
TRN-0745,2,Invalid,18.6752
TRN-0256,3,Valid,17.3983
TRN-0412,1,Valid,46.3496
TRN-0073,1,Valid,44.0862
TRN-0836,2,Valid,32.8614
TRN-0907,3,Invalid,20.0939
TRN-0010,0,Valid,25.8781
TRN-0569,2,Valid,38.7324
TRN-0528,3,Valid,14.2798
TRN-0983,0,Valid,20.0059
TRN-0760,2,Valid,42.5878
TRN-0547,2,Valid,40.8455
TRN-0376,2,Valid,32.7707
TRN-0600,2,Valid,26.6367
TRN-0029,1,Valid,18.5534
TRN-0039,2,Invalid,27.3712
TRN-0033,1,Valid,37.2946
TRN-0833,3,Valid,12.4673
TRN-0390,2,Valid,33.9185
TRN-0044,1,Valid,52.5159
TRN-0452,1,Valid,39.034
TRN-0228,3,Valid,13.6425
TRN-0432,3,Invalid,15.8323
TRN-0898,0,Valid,21.6868
TRN-0204,0,Valid,20.4819
TRN-0121,3,Invalid,18.3173
TRN-0902,2,Valid,32.6957
TRN-0183,0,Valid,21.0361
TRN-0634,2,Valid,19.5508
TRN-0378,0,Valid,17.8967
TRN-0814,0,Valid,23.0081
TRN-0396,0,Valid,20.9096
TRN-0663,1,Valid,54.3652
TRN-0193,2,Valid,39.5565
TRN-0163,0,Valid,20.7763
TRN-0951,3,Valid,15.8285
TRN-0453,1,Valid,33.1281
TRN-0247,0,Valid,22.9371
TRN-0892,0,Valid,17.6804
TRN-0841,1,Valid,35.6834
TRN-0233,2,Invalid,17.8643
TRN-0896,3,Valid,16.8823
TRN-0572,3,Valid,16.5207
TRN-0377,1,Valid,24.5441
TRN-0402,0,Invalid,17.3125
TRN-0692,1,Invalid,33.5906
TRN-0524,0,Valid,18.9352
TRN-0686,2,Valid,17.7028
TRN-0479,2,Invalid,18.1799
TRN-0731,1,Valid,31.8838
TRN-0099,2,Valid,38.4013
TRN-0817,2,Valid,32.0033
TRN-0277,2,Valid,32.0756
TRN-0493,3,Valid,18.2107
TRN-0726,3,Valid,16.4284
TRN-0330,0,Valid,19.5005
TRN-0117,0,Valid,18.1669
TRN-0840,3,Valid,15.7433
TRN-0640,2,Invalid,44.2449
TRN-0576,3,Valid,12.9188
TRN-0815,3,Valid,18.7609
TRN-0048,2,Valid,27.2094
TRN-0783,2,Valid,48.7174
TRN-0632,0,Valid,29.468
TRN-0766,1,Valid,34.1003
TRN-0241,1,Valid,25.6781
TRN-0810,1,Valid,41.3538
TRN-0301,1,Invalid,51.0155
TRN-0984,0,Valid,34.1487
TRN-0054,1,Valid,35.5919
TRN-0866,3,Invalid,14.4958
TRN-0180,3,Valid,16.4986
TRN-0832,1,Valid,37.7818
TRN-0979,2,Valid,25.671
TRN-0070,0,Valid,27.8043
TRN-0169,1,Valid,24.6253
TRN-0599,3,Valid,16.4383
TRN-0998,1,Valid,26.9214
TRN-0016,1,Valid,27.0879
TRN-0314,1,Valid,17.309
TRN-0628,2,Valid,17.744
TRN-0586,3,Valid,21.5495
TRN-0145,1,Valid,52.9031
TRN-0370,0,Valid,21.3731
TRN-0122,0,Valid,23.0595
TRN-0374,2,Valid,57.1092
TRN-0878,2,Invalid,45.3496
TRN-0847,3,Valid,14.8242
TRN-0540,2,Valid,39.5278
TRN-0808,3,Invalid,23.8244
TRN-0886,3,Valid,14.0527
TRN-0510,0,Valid,19.6898
TRN-0418,3,Valid,17.4674
TRN-0850,3,Valid,16.029
TRN-0532,1,Valid,20.069
TRN-0361,0,Valid,18.6118
TRN-0161,1,Valid,26.1738
TRN-0110,2,Valid,27.8569
TRN-0175,2,Valid,40.8855
TRN-0616,3,Valid,16.6078
TRN-0119,1,Valid,22.7052
TRN-0635,1,Valid,33.4142
TRN-0278,2,Valid,43.6644
TRN-0225,0,Invalid,21.316
TRN-0959,1,Valid,39.9414
TRN-0349,2,Invalid,29.6685
TRN-0159,2,Valid,22.5737
TRN-0032,3,Valid,16.8355
TRN-0344,3,Valid,13.3281
TRN-0391,3,Valid,16.4488
TRN-0651,2,Valid,46.9167
TRN-0538,0,Valid,31.1325
TRN-0264,2,Valid,38.2856
TRN-0804,1,Valid,41.155
TRN-0875,3,Valid,14.5475
TRN-0179,2,Valid,51.3991
TRN-0664,0,Valid,19.4155
TRN-0848,2,Valid,32.1656
TRN-0319,1,Valid,25.6472
TRN-0897,2,Valid,24.3359
TRN-0617,2,Valid,19.2716
TRN-0066,0,Valid,20.1216
TRN-0329,1,Valid,21.3423
TRN-0512,3,Invalid,20.0655
TRN-0559,1,Valid,34.3654
TRN-0843,2,Valid,27.2341
TRN-0080,2,Valid,43.3474
TRN-0401,2,Invalid,30.3139
TRN-0384,3,Valid,15.7683
TRN-0047,0,Valid,23.1457
TRN-0938,2,Valid,41.4065
TRN-0724,1,Valid,42.3237
TRN-0089,2,Invalid,34.707
TRN-0114,0,Valid,26.4238
TRN-0748,2,Valid,42.7271
TRN-0459,1,Valid,41.8715
TRN-0223,0,Valid,40.5369
TRN-0851,3,Valid,17.5099
TRN-0582,0,Valid,24.3289
TRN-0007,0,Valid,20.2753
TRN-0947,1,Valid,40.6902
TRN-0556,0,Valid,21.8063
TRN-0006,2,Valid,46.7583
TRN-0036,3,Valid,18.2157
TRN-0655,2,Valid,34.4756
TRN-0419,1,Valid,39.859
TRN-0800,2,Valid,31.5476
TRN-0298,2,Valid,26.9194
TRN-0146,3,Valid,15.9725
TRN-0074,0,Invalid,21.1645
TRN-0358,2,Invalid,24.2571
TRN-0521,0,Valid,21.1624
TRN-0598,2,Valid,19.6008
TRN-0242,0,Valid,26.6204
TRN-0285,3,Valid,16.6974
TRN-0786,2,Valid,42.5382
TRN-0976,0,Valid,19.2066
TRN-0467,0,Valid,22.49
TRN-0186,1,Valid,39.037
TRN-0592,0,Valid,16.7186
TRN-1000,0,Valid,19.2422
TRN-0852,1,Valid,40.6205
TRN-0955,1,Valid,49.6297
TRN-0125,3,Valid,20.6012
TRN-0570,0,Invalid,22.9629
TRN-0189,1,Valid,35.0691
TRN-0470,3,Valid,15.044
TRN-0003,1,Valid,45.8035
TRN-0442,0,Valid,22.3594
TRN-0716,3,Valid,14.421
TRN-0678,0,Valid,19.8362
TRN-0978,0,Valid,20.8658
TRN-0350,3,Valid,17.1638
TRN-0924,3,Valid,14.9855
TRN-0918,0,Invalid,18.8499
TRN-0552,1,Valid,40.9406
TRN-0999,3,Valid,15.8237
TRN-0444,0,Valid,21.4587
TRN-0118,3,Invalid,15.7524
TRN-0950,1,Invalid,42.9187
TRN-0642,0,Invalid,17.9536
TRN-0953,0,Valid,43.8394
TRN-0821,1,Valid,28.3474
TRN-0487,1,Valid,23.6253
TRN-0871,1,Valid,32.4221
TRN-0683,1,Invalid,20.5016
TRN-0555,0,Valid,20.6918
TRN-0085,3,Valid,12.9026
TRN-0685,0,Valid,37.7807
TRN-0888,1,Invalid,35.2834
TRN-0609,0,Valid,21.5634
TRN-0182,0,Valid,28.8087
TRN-0211,1,Valid,41.8311
TRN-0574,1,Valid,56.3026
TRN-0648,1,Valid,27.754
TRN-0665,2,Invalid,15.8353
TRN-0966,3,Valid,13.3057
TRN-0064,1,Valid,26.9808
TRN-0499,3,Invalid,17.1232
TRN-0334,2,Valid,45.5134
TRN-0352,3,Valid,15.1699
TRN-0448,1,Valid,28.5721
TRN-0701,2,Valid,38.0511
TRN-0077,2,Invalid,36.4665
TRN-0900,3,Valid,15.1575
TRN-0034,2,Valid,23.8279
TRN-0239,3,Valid,14.4998
TRN-0535,1,Invalid,35.5601
TRN-0373,0,Valid,18.6685
TRN-0539,2,Valid,16.8214
TRN-0141,3,Valid,15.9219
